date,lat,long,elev,tmin,tmax
2018-08-23,7.75,-77.25,8,23.3,30.5
2018-08-24,7.75,-77.25,8,22.9,30.8
2018-08-25,7.75,-77.25,8,23.4,31.9
2018-08-26,7.75,-77.25,8,23.0,29.9
2018-08-27,7.75,-77.25,8,23.8,28.1
2018-08-28,7.75,-77.25,8,23.6,32.1
2018-08-29,7.75,-77.25,8,23.4,30.8
2018-08-30,7.75,-77.25,8,22.7,30.8
2018-08-31,7.75,-77.25,8,23.7,32.6
2018-09-01,7.75,-77.25,8,24.1,30.3
2018-09-02,7.75,-77.25,8,23.9,31.1
2018-09-03,7.75,-77.25,8,24.0,30.7
2018-09-04,7.75,-77.25,8,23.4,31.9
2018-09-05,7.75,-77.25,8,23.1,29.9
2018-09-06,7.75,-77.25,8,23.0,31.1
2018-09-07,7.75,-77.25,8,22.5,31.2
2018-09-08,7.75,-77.25,8,22.6,31.8
2018-09-09,7.75,-77.25,8,23.4,29.9
2018-09-10,7.75,-77.25,8,23.5,30.8
2018-09-11,7.75,-77.25,8,23.5,31.6
2018-09-12,7.75,-77.25,8,22.5,32.6
2018-09-13,7.75,-77.25,8,22.6,28.7
2018-09-14,7.75,-77.25,8,21.7,30.9
2018-09-15,7.75,-77.25,8,22.2,31.5
2018-09-16,7.75,-77.25,8,22.4,32.2
2018-09-17,7.75,-77.25,8,22.8,30.9
2018-09-18,7.75,-77.25,8,23.6,32.6
2018-09-19,7.75,-77.25,8,23.7,32.7
2018-09-20,7.75,-77.25,8,23.3,32.6
2018-09-21,7.75,-77.25,8,23.6,32.2
2018-09-22,7.75,-77.25,8,23.8,31.3
2018-09-23,7.75,-77.25,8,23.6,31.8
2018-09-24,7.75,-77.25,8,23.2,26.8
2018-09-25,7.75,-77.25,8,22.1,30.4
2018-09-26,7.75,-77.25,8,21.8,27.1
2018-09-27,7.75,-77.25,8,23.4,29.7
2018-09-28,7.75,-77.25,8,22.6,30.7
2018-09-29,7.75,-77.25,8,23.2,30.6
2018-09-30,7.75,-77.25,8,23.3,30.1
2018-10-01,7.75,-77.25,8,22.5,31.8
2018-10-02,7.75,-77.25,8,22.7,31.9
