"x","y"
969327.123028973,1265224.69221416
969702.278176693,1265213.39779017
970785.037576867,1264195.30995159
971867.229139194,1263608.56546174
973978.116921709,1263220.39451279
974740.542991593,1263784.07049513
975824.018270336,1264037.89591272
976173.884489726,1264016.2715149
976906.496792218,1263971.06398277
977414.760884666,1263716.44876127
978310.161731434,1263837.72699071
979326.987138015,1264025.31245121
980022.471815236,1263892.36047906
981492.790997522,1263880.74279799
1014015.97158684,1294668.39903574
1013828.71432446,1292368.04193176
1013951.88553676,1288784.83537198
1014273.10673131,1285212.76379309
1014405.57790368,1284637.72687296
1014914.31139355,1282713.52433411
1015876.11905203,1279329.66040484
1015811.01192004,1277283.68724437
1015557.22508046,1274795.26654066
1016840.21554553,1271909.18260803
1018177.91171394,1269675.68898055
1019128.28678977,1268769.15315288
1019902.22335848,1266402.76456508
1020411.05148799,1265186.47870353
1020411.25121944,1264677.74768418
1019583.11939333,1263084.89658226
1017097.60306238,1260794.76379018
1014114.62790145,1257675.16091426
1012004.42521112,1256535.52175956
1007992.70422971,1255340.38082632
1006599.86602742,1254190.05480372
1003030.64294969,1251402.78206785
1000575.05574008,1249490.87660107
999592.60257693,1248726.38936342
996408.910230216,1246061.2781603
994684.84088596,1243573.1157202
993855.577945104,1241792.69493106
993158.648588062,1239746.86106949
992837.99067041,1238663.06291374
991820.616810006,1237712.15211673
989973.935919596,1236186.29238785
988447.734499805,1234848.47497428
986789.067988908,1233709.74971925
983913.866094675,1232449.81692945
982266.262919804,1232129.60237381
980674.068024075,1231112.69639051
978185.366632118,1228769.08383952
977034.55676911,1226535.63867209
975629.71244513,1226226.59197417
974423.535921618,1225010.62062789
971868.800005204,1223297.69690674
970850.939453795,1222667.89613121
969645.004850489,1222226.16142592
967156.827017188,1222238.66374059
965563.493975254,1221675.59094343
964091.759189181,1220017.66558635
962697.737611297,1218614.06145975
962309.523903472,1217276.18912478
961158.423470161,1215883.47653856
960460.726543822,1214921.82889328
960206.361984343,1214413.28107195
959818.477994946,1213650.49221678
960967.024488226,1211283.01052211
961220.068083559,1209878.30872771
961164.147838166,1208341.14298245
961229.500691153,1206427.84642697
962058.271619899,1205144.41735087
962752.968583642,1202710.9606141
962752.299264735,1201693.50978772
963647.4500196,1199768.61189457
965117.813481076,1198352.15388034
965305.663856552,1197721.65832062
964795.99651288,1196638.18399208
962184.693836899,1196009.47233258
960458.255270947,1195756.30483153
959440.046187205,1195513.70333329
957967.056760751,1193280.84196702
956372.439052204,1191114.3923535
955231.459359298,1189456.407134
953636.467273055,1188130.55536371
951908.040704523,1185831.69349005
951011.550931765,1185014.05849239
950246.844768682,1184306.90691389
950125.10132269,1184119.01282934
948784.544110518,1182461.25565716
947889.393735732,1182304.79485611
947445.995615225,1183114.98600891
946870.828138001,1182927.45642001
946228.108671394,1182740.04731611
945274.971942426,1181082.05791574
944953.933185736,1180894.36033197
944122.685472971,1179612.26989369
943358.057796177,1178274.80576344
942338.258272363,1176815.99270907
942015.9215463,1175345.42818587
941637.464273274,1173498.86778046
941636.39359107,1172415.06164306
941059.044841157,1171011.09321085
940039.785599471,1169419.57333521
939273.122980355,1167120.05278485
939205.296574021,1165206.84554791
939845.718273762,1163735.31676459
940995.995836299,1162772.02698852
941305.599349778,1162384.65040442
941758.614796214,1161809.08460453
942334.603053779,1161742.18882134
943219.671836285,1161608.66540059
943673.907906042,1161409.16503734
943927.138500184,1160325.12914225
943483.991801856,1159750.42118039
943162.294748546,1158987.65531998
942708.276463987,1158545.69484784
942397.967144028,1158225.31134714
942009.453363927,1157396.22096209
941887.017984335,1156566.87649432
942262.245727121,1155858.76749711
943280.094116006,1154895.61378927
943733.015492919,1154132.12558896
943920.447781627,1153103.47421808
943920.101339728,1152727.42588499
943543.458753313,1151953.63336618
942324.804810303,1151457.11922225
941305.609231829,1151071.01989323
940474.867023974,1150762.1668455
939643.853439799,1150187.91117751
939708.578972595,1148141.85021881
939707.644548669,1147190.78301934
940149.283474082,1146095.47683528
940601.997708006,1145077.57922618
941619.170126603,1143218.6696779
941496.958993549,1142643.71713528
939901.92167792,1141948.51884749
938561.23827956,1141319.44573298
937729.30699493,1140811.54537602
936832.491114494,1140491.77266207
935812.037664968,1139099.30370641
935877.92452878,1138258.74957224
935551.901797743,1137578.91331261
935422.337278606,1137308.1489196
935487.834561567,1136091.54360175
935043.990228455,1135074.53917802
934398.250465031,1132520.52902222
934274.493551174,1130541.04857129
934272.501367727,1128627.78242213
934272.098864194,1128240.71009118
934017.717391205,1128240.97500616
933119.332925232,1127423.52719735
931978.603324229,1127612.74205601
931591.799519008,1128641.7009107
930893.802900472,1128708.80079626
929741.903731395,1128710.07063979
928910.800638644,1128401.33902726
927689.942238132,1126489.43451069
926869.58606574,1125273.87631015
926158.497630198,1123560.48243142
925326.245939072,1122344.89838552
925014.107109426,1120686.36547235
924182.337168281,1119924.26246951
923672.587347492,1119869.54783433
922774.62685951,1119616.27942234
921433.823926342,1119429.85225223
920536.009008571,1119309.29655273
919583.648970793,1119509.56144465
917922.85743888,1120285.83207776
917280.879886246,1120607.39952418
916450.244860634,1120796.48306558
915685.804942807,1121184.57077725
914412.286803571,1121385.34250436
913836.441645705,1121839.59814818
913583.311962506,1122791.0458066
913329.695208222,1123377.55844834
913263.871627544,1124074.40551831
912943.311770242,1124528.27386175
912301.916688491,1125225.91415634
911792.723493221,1125558.43946689
910839.080879264,1125371.76334511
910007.984817972,1125184.92702008
909110.766814081,1124865.45589873
908345.678101606,1124744.88898691
907769.896987031,1124612.98109144
907259.959217236,1124425.71356693
904445.294006467,1123810.52492392
903104.369638098,1123558.19530676
902018.052319533,1123438.18958141
900865.79891694,1123318.30415102
899779.363203804,1123131.99043445
898638.169906568,1123067.44904988
897164.286344549,1122693.72869993
896332.99929362,1122451.73684821
896049.576943641,1121254.18165393
895953.400453679,1120848.67074633
895243.276468294,1119765.93833176
894288.515662273,1119004.31840918
892881.078250137,1118508.95134331
891472.974369687,1118135.28230401
890452.747637213,1117694.58046307
889366.776380467,1117375.67603933
888090.893960561,1116747.48166719
887703.719198353,1116748.155357
885852.320388812,1116242.62384166
885342.344991208,1116121.85681831
884898.125900322,1115425.84231113
884762.38566951,1114209.41677059
884571.929093157,1113125.83601996
884127.212288978,1112164.38050455
884312.907617206,1110571.34240383
884378.44100766,1109863.34476973
884376.303444042,1108657.75717844
883676.582597669,1107895.84630548
882645.359233012,1107576.92173756
881880.454668754,1107257.52986265
881181.169392777,1106761.08128233
880791.33141786,1105799.53321772
880534.978095644,1104782.41724084
880277.995362804,1103886.97553559
879645.09865476,1103191.3165922
879134.51817158,1102805.13212552
878235.488521709,1102242.72009549
876827.979844784,1101990.90852585
875486.410292517,1101739.05324713
873823.753713542,1101620.53420031
872104.545008037,1101126.11372089
870758.81986334,1098772.72934192
869923.683943637,1096794.46115257
867749.280229361,1095847.52845116
866407.008481364,1095341.39223031
866218.042574376,1095153.74177633
864555.807882958,1095356.2002935
863403.144755333,1095369.57336888
862316.603570308,1095051.07163871
860841.572930231,1094998.80148084
860465.50863383,1095132.34333541
860011.978370552,1095830.14953443
859638.064180374,1096981.28873578
859385.09907133,1098132.17727512
859388.076419233,1099536.96496735
859256.412914484,1100057.14624302
858938.463248887,1101650.65412124
857534.378322509,1103456.64357677
857417.866662294,1105879.36099476
857099.754893055,1107351.21531564
856580.440007184,1108060.2959845
856716.130447662,1109398.4566093
856718.100586534,1110294.37987448
856397.507852409,1110615.88213737
855378.664987136,1111005.28929287
854669.271323318,1111006.87080109
853649.14436155,1110821.12017139
852819.439959075,1111464.59238421
853532.578160015,1113122.20303598
853913.141070034,1114658.88037989
854615.66613838,1116504.60442172
854560.44048714,1116759.12101275
854240.621783654,1117401.44177662
853278.128272828,1117978.82226312
852514.047149463,1118434.08036498
851685.207806518,1119398.34238283
850988.532532207,1120107.9179144
