Este		Norte
976801.051    1707106.929
976813.29     1707113.049
977082.549    1707131.407
977107.027    1706886.626
977168.222    1706813.192
977308.971    1706837.67
977376.286    1706923.344
977382.406    1706984.539
977443.601    1707082.451
977449.72     1707143.647
977419.123    1707204.842
977370.166    1707229.32
977345.688    1707302.754
977517.035    1707345.591
977553.752    1707388.428
977627.187    1707345.591
977725.099    1707382.308
977871.968    1707516.938
978122.868    1707682.165
978361.53     1707767.838
978600.191    1707896.348
978698.103    1707896.348
978875.57     1707994.26
978955.123    1708086.053
979420.207    1708385.91
979524.239    1708428.747
979560.956    1708471.583
979671.108    1708502.181
979873.052    1708649.05
979915.889    1708649.05
979909.769    1708551.137
979811.857    1708410.388
979701.705    1708324.715
979505.881    1708220.683
979438.566    1708159.488
979420.207    1708079.934
979469.164    1707908.587
979432.446    1707786.197
979328.414    1707755.599
979261.1      1707773.958
979242.741    1707773.958
979028.558    1707945.304
978973.482    1707945.304
978912.287    1707792.316
978893.928    1707676.045
978765.418    1707382.308
978704.223    1707321.113
978575.713    1707284.396
978453.322    1707284.396
978324.812    1707070.212
978098.39     1706862.148
978110.629    1706739.758
978257.498    1706605.128
978355.41     1706562.292
978398.247    1706470.499
978324.812    1706329.75
978312.573    1706250.196
978306.454    1706237.957
978043.314    1706219.598
977927.043    1706170.642
977902.565    1705925.861
977547.633    1705570.929
977529.274    1705350.626
977578.23     1705093.606
977590.469    1704683.597
977529.274    1704487.773
977321.21     1704083.884
977143.744    1703851.342
976941.8      1703686.115
976813.29     1703514.768
976770.453    1703374.019
976476.716    1703361.78
976366.564    1703380.139
976268.659986 1703349.337368
975923.017822 1703395.768747
976378.803    1703881.94
976391.042    1704004.33
976225.815    1704151.199
975877.002    1704108.362
975809.688    1704065.525
975650.58     1704041.047
975534.309    1703912.537
975509.831    1703716.713
975522.07     1703600.442
975589.385    1703484.171
975668.939    1703435.214
975742.373    1703429.095
975803.568    1703386.258
975922.343016 1703394.422847
976268.378187 1703348.88393
976280.891    1703037.445
976464.477    1702774.306
976660.302    1702682.513
976605.226    1702578.481
976586.867    1702345.939
976617.465    1702039.963
976697.019    1701654.433
976739.855    1701544.281
976770.453    1701244.424
976635.823    1700809.938
976372.684    1700234.703
976158.501    1699543.197
976066.708    1699316.774
975834.166    1699010.798
975717.895    1698912.885
975638.341    1698808.854
975503.711    1698692.583
975369.082    1698613.029
975001.91     1698490.638
974775.488    1698356.009
974751.01     1698221.379
974738.771    1698221.379
974775.488    1698092.869
974744.89     1698043.913
974714.293    1697682.861
974867.281    1697168.821
974855.042    1696991.355
974922.357    1696771.052
974922.357    1696673.139
974842.803    1696691.498
974763.249    1696679.259
974579.663    1696495.673
974292.045    1696373.283
974273.687    1696336.565
974157.416    1696269.251
974096.221    1696287.609
973973.83     1696275.37
973906.515    1696244.773
973753.527    1696079.545
973606.659    1695993.872
973374.117    1695908.199
973141.575    1695681.776
973019.184    1695418.637
972957.989    1695198.334
972933.511    1694959.672
972970.228    1694678.174
972951.869    1694268.166
973049.782    1694005.026
973239.487    1693772.484
973472.029    1693546.062
973637.256    1693460.389
974004.428    1693258.444
973588.3      1693062.62
973447.551    1693068.739
973447.551    1693105.456
973594.42     1693203.369
973612.778    1693264.564
973520.985    1693368.596
973367.997    1693466.508
973263.965    1693472.628
973190.531    1693350.237
973025.304    1693435.911
972878.435    1693460.389
972780.523    1693429.791
972688.73     1693472.628
972450.068    1693307.401
972443.949    1693276.803
972523.503    1693209.488
972425.59     1693129.934
972370.515    1693044.261
972211.407    1692940.229
972064.538    1692530.221
972070.658    1692322.157
972199.168    1692003.942
972278.722    1691924.388
972058.419    1691673.487
972033.941    1691581.695
972131.853    1691202.284
972168.57     1690926.905
972254.244    1690847.352
972266.483    1690669.885
972468.427    1690382.268
972425.59     1690015.096
972468.427    1689868.228
972609.176    1689580.61
972596.937    1689390.905
972333.797    1688815.669
972095.136    1688387.303
971862.594    1688032.37
971526.02     1687714.155
971385.271    1687610.123
971232.283    1687444.896
971042.578    1687359.222
970773.319    1687353.103
970344.952    1687402.059
970118.529    1687322.505
969849.27     1687187.876
969555.533    1686679.955
969555.533    1686606.521
969610.609    1686539.206
969769.716    1686575.923
969788.075    1686563.684
969873.748    1686618.76
969916.585    1686582.043
969934.944    1686367.859
970008.378    1686263.827
970008.378    1686214.871
969800.314    1686080.242
969702.402    1685774.265
969402.545    1685615.158
969267.915    1685474.409
968943.581    1684917.532
968827.31     1684764.544
968753.875    1684617.675
968741.636    1684397.372
968968.059    1683448.846
968974.178    1683271.38
968876.266    1683148.989
968264.313    1682940.925
968141.923    1682934.806
967964.457    1682843.013
967946.098    1682738.981
968105.206    1682537.037
968068.489    1682347.331
968129.684    1682304.495
968117.445    1682188.224
967548.329    1681649.706
967383.102    1681545.674
967340.265    1681404.925
967438.177    1681386.566
